site_id,months_observed,total_crashes,average_monthly_crashes,total_cyclists,average_monthly_cyclists,crash_month_share,crashes_per_10000_cyclists,smoothed_crashes_per_10000_cyclists,radius_key,radius_label,site_nr,long,lat,naam,gemeente,datum_van,historical_risk_rank
28,31,12.0,0.3870967741935484,60957.0,1966.3548387096773,0.2903225806451613,1.968600816969339,2.3397794031308883,2_5km,2.5 km,300023447,5.30314,50.75488,Heers,Heers,2022-04-14,116
25,54,211.0,3.9074074074074074,914241.0,16930.38888888889,0.9814814814814815,2.307925371975223,2.332749030206481,2_5km,2.5 km,100056189,5.597669323604317,51.13679500160176,Bree,Bree,2020-05-09,117
122,26,223.0,8.576923076923077,966453.0,37171.269230769234,1.0,2.307406568141441,2.3309078078907297,2_5km,2.5 km,300027931,4.1019222,51.0373918,Dendermonde teller 2,Dendermonde,2022-10-05,118
34,31,12.0,0.3870967741935484,63764.0,2056.9032258064517,0.2903225806451613,1.8819396524684775,2.2504956056500607,2_5km,2.5 km,300023486,5.3033,50.75486,Heers teller 1,Heers,2022-04-15,119
112,27,93.0,3.4444444444444446,439214.0,16267.185185185184,0.9629629629629629,2.117418843661632,2.1726609555888365,2_5km,2.5 km,300027129,4.9394789,51.1354992,Geel teller 2,Westerlo,2022-09-06,120
110,28,175.0,6.25,841546.0,30055.214285714286,1.0,2.0795060519567556,2.109077817681393,2_5km,2.5 km,300026986,4.811783,51.1739426,Herentals totem,Herentals,2022-08-31,121
142,2,35.0,17.5,184494.0,92247.0,1.0,1.8970806638698277,2.035856524119405,2_5km,2.5 km,300036881,3.24095,51.22632,TEST Validatie BRUGGE Y2H22022134,Brugge,2023-10-24,122
78,29,10.0,0.3448275862068966,68457.0,2360.5862068965516,0.2413793103448276,1.4607709949311247,1.8599498041547184,2_5km,2.5 km,300025808,4.1652,50.75824,Pepingen teller 1,Pepingen,2022-07-13,123
107,28,639.0,22.821428571428573,3466478.0,123802.78571428571,1.0,1.8433695526121903,1.851277159499177,2_5km,2.5 km,300026758,4.7087919,50.8870744,leuven totem,Leuven,2022-08-23,124
49,30,51.0,1.7,322550.0,10751.666666666666,0.8333333333333334,1.5811502092698806,1.671591492612142,2_5km,2.5 km,300024444,5.41001,50.95264,Bokrijk,Genk,2022-06-01,125
115,27,83.0,3.074074074074074,520736.0,19286.51851851852,1.0,1.5938978676335034,1.6503184668223365,2_5km,2.5 km,300027871,3.4350591,51.1058367,Aalter,Aalter,2022-10-01,126
35,31,59.0,1.903225806451613,375528.0,12113.806451612903,0.8064516129032258,1.571121194691208,1.6493827462292723,2_5km,2.5 km,300023487,5.6314,50.88112,Lanaken teller 1,Lanaken,2022-04-15,127
65,29,80.0,2.7586206896551726,539366.0,18598.827586206895,0.896551724137931,1.4832228950286077,1.5397037889503038,2_5km,2.5 km,300025206,2.75511,51.13435,Nieuwpoort teller 2,Nieuwpoort,2022-06-24,128
143,12,225.0,18.75,1530083.0,127506.91666666667,1.0,1.4705084626128124,1.4907319579223057,2_5km,2.5 km,100038932,3.26286,50.83066,Eco Display Classic Budastraat,Kortrijk,2023-12-08,129
43,31,54.0,1.7419354838709677,393839.0,12704.483870967742,0.8387096774193549,1.371118655084946,1.4506840503360612,2_5km,2.5 km,300023680,5.79715,51.09344,Maaseik teller 1,Maaseik,2022-04-28,130
31,31,43.0,1.3870967741935485,339716.0,10958.58064516129,0.7419354838709677,1.265763166880571,1.36060250205478,2_5km,2.5 km,300023451,5.1775,50.94366,Herk De Stad,Herk-de-Stad,2022-04-14,131
44,31,54.0,1.7419354838709677,430772.0,13895.870967741936,0.8387096774193549,1.2535633699497646,1.3290727367013784,2_5km,2.5 km,300023682,5.79726,51.09359,Maaseik teller 2,Maaseik,2022-04-28,132
30,31,42.0,1.3548387096774193,340750.0,10991.935483870968,0.7419354838709677,1.2325752017608218,1.3280622741902182,2_5km,2.5 km,300023450,5.17691,50.94374,Herk De Stad,Herk-de-Stad,2022-04-14,133
