site_id,year,month,crash_count_2_5km,nearest_crash_distance_km,average_crash_distance_km,crash_happened_in_month_2_5km
53,2020,12,9,1.074032122256381,1.7737032503935148,1
53,2021,1,6,0.6949171760359907,1.8791736084682051,1
53,2021,2,10,0.3472719443234566,1.7236564308103854,1
53,2021,3,8,0.0525880679724456,1.3769368490035971,1
53,2021,4,7,0.8917747040548334,1.5174445755700294,1
53,2021,5,14,1.4497035973430543,1.9856569618026825,1
53,2021,6,9,0.9881903898613998,1.6385128576610473,1
53,2021,7,11,0.71562307421255,1.6649691296228957,1
53,2021,8,8,0.4456168563208353,1.6629068332022505,1
53,2021,9,13,0.4456168563208353,1.6215411774467463,1
53,2021,10,17,0.7068325619067122,1.8486534179414595,1
53,2021,11,11,1.7303533661820376,2.101230792304391,1
53,2021,12,4,0.8917747040548334,1.2802595882101784,1
53,2022,1,9,1.6121790399311764,2.0350123450990636,1
53,2022,2,14,0.6534776150566483,1.8932532946497638,1
53,2022,3,16,0.5841625600034154,1.6619813283649576,1
53,2022,4,12,0.6658581211355802,1.5315926484015527,1
53,2022,5,22,0.4812143333338865,1.5968615794258658,1
53,2022,6,11,1.0568837084964375,1.8301443394777586,1
53,2022,7,15,0.6439806398883245,1.7624715284075088,1
53,2022,8,18,0.2476813196012636,1.6646484707275548,1
53,2022,9,22,0.6672823472399658,1.8154042586687344,1
53,2022,10,13,1.009845634257348,1.8716209931890284,1
53,2022,11,17,0.5240016105264642,1.762867005647664,1
53,2022,12,10,1.0638418631533313,1.8282811104077896,1
53,2023,1,6,1.8290763859166643,2.082002461323578,1
53,2023,2,9,0.8343756629124649,1.8470773694438616,1
53,2023,3,15,0.6658581523732673,1.906420551244891,1
53,2023,4,14,0.9772107377141466,1.8099552133474057,1
53,2023,5,15,0.4530183366190817,1.3556270961109338,1
53,2023,6,12,0.4055978843367369,1.7077616019652802,1
53,2023,7,12,1.1911377808968049,1.8499886686600358,1
53,2023,8,15,0.9956630778262284,1.5562395457643547,1
53,2023,9,19,0.584146921782488,1.6148018201192709,1
53,2023,10,16,0.7294647689514175,1.9097541491901122,1
53,2023,11,19,0.7774366508313852,1.5122581160138957,1
53,2023,12,8,1.5615639345930832,2.0552596847053133,1
53,2024,1,14,0.7524632713788537,1.735955576597031,1
53,2024,2,9,1.0259253662324654,1.8689652824874987,1
53,2024,3,17,0.4368607383383701,1.6877738420089146,1
53,2024,4,6,0.7453160302404859,1.7208259214407982,1
53,2024,5,16,0.4404453696815302,1.3911884976772728,1
53,2024,6,15,1.2748862529506542,2.0890684010728013,1
53,2024,7,12,0.315460118925952,1.8436032422711606,1
53,2024,8,9,0.4450131397732212,1.8454530387430144,1
53,2024,9,12,0.8166883025778949,1.8559224808283599,1
53,2024,10,21,0.9958496319915412,2.0122435646174672,1
53,2024,11,14,0.4368607383383701,1.641712175848297,1
53,2024,12,10,0.5920061903217019,1.5926622590304162,1
54,2017,1,8,0.66777800066283,1.3604762937310648,1
54,2017,2,16,1.4625099099997023,2.017633751327884,1
54,2017,3,15,0.7951119263920957,1.5944033878067638,1
54,2017,4,11,0.8398427378359306,1.763655449003043,1
54,2017,5,14,0.9187862390018438,1.9380702026602585,1
54,2017,6,14,0.8112933390664467,1.7988906117305785,1
54,2017,7,13,0.7775137483492872,1.7907327849586065,1
54,2017,8,13,0.0891215854622062,1.4738082029903987,1
54,2017,9,17,0.2655417362500083,1.5414314909756452,1
54,2017,10,12,0.3203662011689882,1.8640070772780828,1
54,2017,11,17,0.2969692306145667,1.8966349849411055,1
54,2017,12,18,1.023529551462068,1.7504296106559556,1
54,2018,1,8,0.7105937804259784,1.5959454806377973,1
54,2018,2,14,0.0481933008088888,1.4465454964300704,1
54,2018,3,13,1.0009398287971305,1.7314567465427226,1
54,2018,4,21,0.0906691802764716,1.496008505333007,1
54,2018,5,17,1.1619991369466816,1.848174303737709,1
54,2018,6,12,0.6769155668351238,1.431148232293486,1
54,2018,7,9,1.0125266012364291,1.7001781899030493,1
54,2018,8,11,0.8709284565694275,1.4096932853713582,1
54,2018,9,11,0.4300586769308381,1.6959694960474891,1
54,2018,10,16,0.7642624342213258,1.852856371861971,1
54,2018,11,14,0.7590991143233708,1.768673285152845,1
54,2018,12,12,0.2969692306145667,1.6527667372264334,1
54,2019,1,15,0.7797608837554733,1.9645955726942304,1
54,2019,2,12,0.9167451318453772,1.8268012305742989,1
54,2019,3,11,0.38410790595546,1.6472506666598732,1
54,2019,4,15,1.072479095205619,1.91693085598605,1
54,2019,5,13,0.7358931317982963,1.6356474358823165,1
54,2019,6,14,0.4697579513598763,1.758546278683974,1
54,2019,7,14,0.9191075909880712,1.6523325134537237,1
54,2019,8,12,0.8398427378359306,1.663440657621585,1
54,2019,9,8,1.7099143677468795,2.0012935133616505,1
54,2019,10,9,0.9911194454887444,1.7934117382199064,1
54,2019,11,7,1.0579238765572978,1.4471567489218682,1
54,2019,12,8,0.9628725269655756,1.8565027008015227,1
54,2020,1,12,0.3528830528762094,1.718329660035334,1
54,2020,2,14,1.0035913885292185,1.9802190498325467,1
54,2020,3,11,0.4300466382636215,1.186410098285277,1
54,2020,4,2,0.9352886142441806,0.9966062454007392,1
54,2020,5,6,0.9147863073739572,1.7147809930012514,1
54,2020,6,10,0.8913479787518738,1.4361984451697067,1
54,2020,7,12,0.625415435798973,1.7320518603634933,1
54,2020,8,8,0.5757809171675392,1.6658892825839144,1
54,2020,9,10,0.284478441113661,1.7534487586234906,1
54,2020,10,13,0.0653889444169305,1.4941708525532333,1
54,2020,11,9,0.2463660937429722,1.4823654106237687,1
54,2020,12,9,1.0606218627790949,1.76840165088854,1
54,2021,1,6,0.6805877009369375,1.8712026125397083,1
54,2021,2,10,0.3360056521649293,1.7207630763031243,1
54,2021,3,8,0.046277642963568,1.3732870243007635,1
54,2021,4,7,0.8913479787518738,1.5186666720387596,1
54,2021,5,14,1.4462046868478944,1.9804544310828465,1
54,2021,6,9,1.000962445149392,1.636947780685277,1
54,2021,7,11,0.7078877013091226,1.6622931604326951,1
54,2021,8,8,0.4307294696462653,1.659148697320189,1
54,2021,9,13,0.4307294696462653,1.6194456478867232,1
54,2021,10,17,0.6990705035185301,1.8463816333037968,1
54,2021,11,11,1.7166267892165403,2.09572117840479,1
54,2021,12,4,0.8913479787518738,1.2746922297829943,1
54,2022,1,9,1.625362516985709,2.0327678661072586,1
54,2022,2,14,0.6677670538236479,1.8919748676304071,1
54,2022,3,16,0.5710907011922809,1.6578861279035468,1
54,2022,4,12,0.6586860660972754,1.5281751256308684,1
54,2022,5,22,0.4663348018794246,1.5929709918733672,1
54,2022,6,11,1.05219936062561,1.8276177066847397,1
54,2022,7,15,0.6505251155585546,1.7558404254719082,1
54,2022,8,17,0.2323919349163696,1.6106267724339236,1
54,2022,9,22,0.6590188184600252,1.8090095142402987,1
54,2022,10,13,0.9946137084245504,1.867198339702386,1
54,2022,11,17,0.5148956996901388,1.7577431683476032,1
54,2022,12,10,1.0699665731587136,1.8253943290595598,1
54,2023,1,6,1.8274177128460505,2.0791331788260976,1
54,2023,2,9,0.8263561359822972,1.8436051616303861,1
54,2023,3,15,0.6586860973227173,1.899257501312864,1
54,2023,4,14,0.9621866337278204,1.8045272998107331,1
54,2023,5,15,0.4451376143457284,1.3555736753979635,1
54,2023,6,12,0.3902289246368746,1.7011537823784433,1
54,2023,7,12,1.1907530836544031,1.8488451259133132,1
54,2023,8,15,0.9884856859392298,1.5541619383093628,1
54,2023,9,19,0.5710669092064361,1.6096164549855783,1
54,2023,10,16,0.7202445156964002,1.904117346806604,1
54,2023,11,19,0.7696686595995297,1.5084594476912458,1
54,2023,12,8,1.550982215179767,2.0481744504640997,1
54,2024,1,14,0.7375519333119046,1.7295365515078278,1
54,2024,2,9,1.0125262794320422,1.8652910849969142,1
54,2024,3,17,0.4405683865507688,1.6849043997309667,1
54,2024,4,6,0.7300583578156186,1.71888565760565,1
54,2024,5,16,0.4259334456955406,1.3869189380814915,1
54,2024,6,15,1.2772052897016182,2.085909803507877,1
54,2024,7,12,0.319309472051116,1.8387509651174974,1
54,2024,8,9,0.4301250856864826,1.842968636605052,1
54,2024,9,12,0.8032195904473481,1.8548902878325562,1
54,2024,10,21,0.988671887029393,2.00799935255502,1
54,2024,11,14,0.4405683865507688,1.6399981482824553,1
54,2024,12,10,0.5825190002393397,1.5907187731892163,1
55,2017,1,5,0.4165801406463716,1.0480061742432283,1
55,2017,2,1,2.276127666840201,2.276127666840201,1
55,2017,3,8,1.1866470831400766,1.7240885621348465,1
55,2017,4,5,1.2387976727509835,1.6688762760625386,1
55,2017,5,4,0.8639965526379672,1.659968047777964,1
55,2017,6,10,1.1239887422984287,1.460931730135201,1
55,2017,8,3,1.1925412690022816,1.6114737178281613,1
55,2017,9,3,1.566625877886882,2.035696543141439,1
55,2017,10,6,0.150120542738165,1.522847239470693,1
55,2017,11,2,1.577643075230533,1.6660670929486783,1
55,2017,12,5,0.9346402542483084,1.800338676705462,1
55,2018,1,5,0.3110726698408146,1.3182021284637861,1
55,2018,2,5,0.8943834777174132,1.2917668342094213,1
55,2018,3,7,0.6827058988115504,1.6034976048787597,1
55,2018,4,3,1.061139869030409,1.858461175118953,1
55,2018,5,3,0.150120542738165,1.3929258983488229,1
55,2018,6,5,0.7577860019438425,1.4779965995540858,1
55,2018,7,3,1.2794219095438717,1.595855146194676,1
55,2018,8,4,1.347873588338295,1.5783509871617831,1
55,2018,9,5,0.3967640373329337,1.1576262722860453,1
55,2018,10,5,0.0895233381056256,1.4001078518555656,1
55,2018,11,3,1.47453722920979,1.717967390523711,1
55,2018,12,7,1.1925412690022816,1.7756366018363179,1
55,2019,1,5,1.0536020446812808,1.644460229120794,1
55,2019,2,5,0.6047840026592094,1.5561123417214175,1
55,2019,3,6,0.130758200862247,1.2963590753961742,1
55,2019,4,5,1.1527296266609253,1.5766454423954734,1
55,2019,5,4,0.6463959577523021,1.3911034365714423,1
55,2019,6,4,0.4140297598293477,1.525858500118558,1
55,2019,7,1,1.565902765122245,1.565902765122245,1
55,2019,8,3,0.7649339189457809,1.3628967456169965,1
55,2019,9,3,0.5578210330046032,1.0920718963602172,1
55,2019,10,5,0.720593815506179,1.346599550576975,1
55,2019,11,4,1.0029196395809128,1.5370321988981714,1
55,2019,12,3,1.2498133794180526,1.7125283553128419,1
55,2020,1,5,1.154085636371473,1.385321919959342,1
55,2020,2,5,1.4622088223466798,1.8430968821391698,1
55,2020,3,4,0.4550252882496054,1.474211088476279,1
55,2020,4,1,1.2218539553800922,1.2218539553800922,1
55,2020,5,4,0.4654380118440783,1.1464358231071845,1
55,2020,6,1,0.486573964918993,0.486573964918993,1
55,2020,7,3,0.9346639590628796,1.503943118886448,1
55,2020,8,4,0.5940881481414683,1.363388102252666,1
55,2020,9,4,0.6058104370281789,1.3255553331284933,1
55,2020,10,7,1.1046985857677665,1.6186585230883581,1
55,2020,11,3,1.476493344768537,1.5352785810564695,1
55,2020,12,4,0.2015247456513993,1.0623028789025075,1
55,2021,1,3,1.358045069617226,1.7014581903106982,1
55,2021,2,4,0.6058104370281789,1.4782564412746209,1
55,2021,3,4,1.1395117411573814,1.618418147737278,1
55,2021,4,4,0.5826048033713814,1.5297801829730913,1
55,2021,5,2,0.915361649368707,1.0825875143933799,1
55,2021,6,7,1.528082698766701,1.796125763607313,1
55,2021,7,5,1.089397633650001,1.479474018844115,1
55,2021,8,6,1.0494180270785374,1.5157532860733383,1
55,2021,9,1,1.053250842214667,1.053250842214667,1
55,2021,10,5,0.1695593464568889,0.9870450062547349,1
55,2021,11,8,1.51338791559597,1.8962720535176045,1
55,2021,12,2,0.7450325439317562,1.2177637256301255,1
55,2022,1,2,1.148470954340403,1.4941413167486213,1
55,2022,2,2,1.4544382352056568,1.610052868476345,1
55,2022,3,5,0.0979932478471851,1.0570274715245145,1
55,2022,4,4,0.289738182236622,1.0965946755045768,1
55,2022,5,2,1.6529674711087,1.683453288589749,1
55,2022,6,7,0.2207314858753035,1.167120948417222,1
55,2022,7,2,1.440294491165053,1.5686570647997382,1
55,2022,8,2,1.2222060391844618,1.4277760453100075,1
55,2022,9,3,0.5785542232211413,1.3474583277687266,1
55,2022,10,2,1.526485582243268,1.8009821302086864,1
55,2022,11,3,0.149574239944794,1.3423642732551544,1
55,2022,12,4,0.9827852647410475,1.7223664855696812,1
55,2023,1,3,1.5659030520663455,1.8981370932935906,1
55,2023,2,3,0.5624983282049727,1.4455123850136218,1
55,2023,3,6,1.0246096004685092,1.8611589995586024,1
55,2023,4,2,0.6058101074143805,1.0726544324849256,1
55,2023,5,4,0.1908145848387944,0.9595978401612778,1
55,2023,6,7,0.2891664029877605,1.1984850689909619,1
55,2023,8,5,0.6463955917074021,1.414578831533309,1
55,2023,9,7,0.6971423978675922,1.4622347007013443,1
55,2023,11,4,1.304584215249607,1.571144915273744,1
55,2024,1,2,1.5394987575554708,1.6898969627781137,1
