model,threshold,accuracy,precision,recall,f1,balanced_precision_recall,tn,fp,fn,tp
logistic_regression,0.77,0.7391041162227603,0.605072463768116,0.34151329243353784,0.4366013071895425,0.4732928781008269,1054,109,322,167
logistic_regression,0.78,0.7415254237288136,0.6183206106870229,0.3312883435582822,0.43142476697736354,0.47480447712265256,1063,100,327,162
logistic_regression,0.79,0.7397094430992736,0.6213991769547325,0.30879345603271985,0.412568306010929,0.4650963164937262,1071,92,338,151
logistic_regression,0.8,0.7354721549636803,0.6120689655172413,0.2903885480572597,0.39389736477115117,0.4512287567872505,1073,90,347,142
logistic_regression,0.81,0.7342615012106537,0.6126126126126126,0.278118609406953,0.38255977496483823,0.4453656110097828,1077,86,353,136
logistic_regression,0.82,0.7372881355932204,0.631578947368421,0.26993865030674846,0.37822349570200575,0.45075879883758474,1086,77,357,132
logistic_regression,0.83,0.7342615012106537,0.6344086021505376,0.24130879345603273,0.3496296296296296,0.4378586978032852,1095,68,371,118
logistic_regression,0.84,0.7336561743341404,0.6416184971098265,0.22699386503067484,0.33534743202416917,0.4343061810702507,1101,62,378,111
logistic_regression,0.85,0.7312348668280871,0.6380368098159509,0.21267893660531698,0.31901840490797545,0.42535787321063395,1104,59,385,104
logistic_regression,0.86,0.7276029055690073,0.6274509803921569,0.19631901840490798,0.29906542056074764,0.4118849993985324,1106,57,393,96
logistic_regression,0.87,0.7269975786924939,0.6338028169014085,0.18404907975460122,0.28526148969889065,0.4089259483280049,1111,52,399,90
logistic_regression,0.88,0.7276029055690073,0.6511627906976745,0.17177914110429449,0.27184466019417475,0.4114709659009845,1118,45,405,84
logistic_regression,0.89,0.7257869249394673,0.6607142857142857,0.15132924335378323,0.24625623960066556,0.4060217645340345,1125,38,415,74
logistic_regression,0.9,0.7233656174334141,0.6632653061224489,0.1329243353783231,0.22146507666098808,0.39809482075038605,1130,33,424,65
logistic_regression,0.91,0.7227602905569007,0.6741573033707865,0.12269938650306748,0.20761245674740483,0.39842834493692697,1134,29,429,60
logistic_regression,0.92,0.7197336561743342,0.6625,0.1083844580777096,0.18629173989455183,0.3854422290388548,1136,27,436,53
logistic_regression,0.93,0.7148910411622276,0.640625,0.08384458077709611,0.14828209764918626,0.36223479038854806,1140,23,448,41
logistic_regression,0.94,0.7100484261501211,0.6041666666666666,0.05930470347648262,0.10800744878957169,0.33173568507157464,1144,19,460,29
logistic_regression,0.95,0.711864406779661,0.6756756756756757,0.05112474437627812,0.09505703422053231,0.3634002100259769,1151,12,464,25
random_forest,0.05,0.2960048426150121,0.2960048426150121,1.0,0.456795889771135,0.6480024213075061,0,1163,0,489
random_forest,0.06,0.2960048426150121,0.2960048426150121,1.0,0.456795889771135,0.6480024213075061,0,1163,0,489
random_forest,0.07,0.29721549636803873,0.2963636363636364,1.0,0.45722300140252453,0.6481818181818182,2,1161,0,489
random_forest,0.08,0.2984261501210654,0.2967233009708738,1.0,0.4576509124941507,0.6483616504854369,4,1159,0,489
random_forest,0.09,0.30387409200968524,0.2978593272171254,0.9959100204498977,0.4585687382297552,0.6468846738335116,15,1148,2,487
random_forest,0.1,0.30811138014527845,0.29914004914004916,0.9959100204498977,0.4600850259801606,0.6475250347949735,22,1141,2,487
random_forest,0.11,0.3159806295399516,0.3015479876160991,0.9959100204498977,0.4629277566539924,0.6487290040329984,35,1128,2,487
random_forest,0.12,0.3177966101694915,0.3018633540372671,0.9938650306748467,0.4630776560266794,0.6478641923560569,39,1124,3,486
random_forest,0.13,0.3238498789346247,0.3032581453634085,0.9897750511247444,0.4642685851318945,0.6465165982440765,51,1112,5,484
random_forest,0.14,0.3341404358353511,0.30578512396694213,0.983640081799591,0.466537342386033,0.6447126028832666,71,1092,8,481
random_forest,0.15,0.3486682808716707,0.30953926022063594,0.9754601226993865,0.46995073891625616,0.6424996914600112,99,1064,12,477
