site_id,months_observed,total_crashes_500m,average_monthly_crashes_500m,total_cyclists,average_monthly_cyclists,crash_month_share,crashes_per_10000_cyclists,smoothed_crashes_per_10000_cyclists,naam,gemeente,datum_van,historical_risk_rank
96,29,4.0,0.13793103448275862,255882.0,8823.51724137931,0.13793103448275862,0.15632205469708693,0.16223247416775563,Lier teller 2,Lier,2022-07-26,102
36,31,3.0,0.0967741935483871,203556.0,6566.322580645161,0.0967741935483871,0.14737959087425573,0.15515018754492244,Lanaken teller 2,Lanaken,2022-04-15,103
100,29,20.0,0.6896551724137931,1304366.0,44978.137931034486,0.5172413793103449,0.15333119691865627,0.15454837616213982,Mechelen teller 2,Mechelen,2022-07-28,104
103,28,2.0,0.07142857142857142,141910.0,5068.214285714285,0.07142857142857142,0.1409343950391093,0.15227877769362594,Malle teller 1,Malle,2022-08-03,105
73,29,11.0,0.3793103448275862,733010.0,25276.206896551725,0.27586206896551724,0.15006616553662297,0.15226264227383318,Herent teller 2,Herent,2022-07-07,106
132,22,1.0,0.045454545454545456,79536.0,3615.2727272727275,0.045454545454545456,0.12572922953128143,0.1466619694755891,Gierde lille,Lille,2023-02-15,107
85,29,1.0,0.034482758620689655,79654.0,2746.689655172414,0.034482758620689655,0.12554297335978104,0.14646849808752396,Asse teller 1,Asse,2022-07-14,108
104,28,2.0,0.07142857142857142,149240.0,5330.0,0.07142857142857142,0.13401232913428035,0.14526024144254973,Malle teller 2,Malle,2022-08-03,109
89,29,10.0,0.3448275862068966,700964.0,24171.172413793105,0.27586206896551724,0.1426606787224451,0.14505825856695478,Westerlo teller 2,Westerlo,2022-07-16,110
110,28,12.0,0.42857142857142855,841546.0,30055.214285714286,0.32142857142857145,0.14259470070560612,0.14459712793403132,Herentals totem,Herentals,2022-08-31,111
19,62,14.0,0.22580645161290322,981020.0,15822.90322580645,0.1935483870967742,0.14270860940653604,0.14442803524989548,Aalst 1,Aalst,2019-08-22,112
133,22,1.0,0.045454545454545456,83904.0,3813.818181818182,0.045454545454545456,0.11918382913806255,0.1398250851188421,Gierde Lille Totem,Lille,2023-02-15,113
90,29,2.0,0.06896551724137931,155863.0,5374.586206896552,0.06896551724137931,0.12831781757055877,0.13945279557271428,Brecht teller 1,Brecht,2022-07-21,114
91,29,2.0,0.06896551724137931,158001.0,5448.310344827586,0.06896551724137931,0.12658147733242195,0.13767595100152302,Brecht teller 2,Brecht,2022-07-21,115
63,29,8.0,0.27586206896551724,617793.0,21303.206896551725,0.2413793103448276,0.12949321212768677,0.13241407064359437,Nieuwpoort teller 3,Nieuwpoort,2022-06-24,116
43,31,5.0,0.16129032258064516,393839.0,12704.483870967742,0.16129032258064516,0.12695543102638387,0.1315584986656973,Maaseik teller 1,Maaseik,2022-04-28,117
108,28,8.0,0.2857142857142857,626931.0,22390.39285714286,0.25,0.12760574927703366,0.13051372900994235,Heverlee teller 1,Leuven,2022-08-25,118
143,12,19.0,1.5833333333333333,1530083.0,127506.91666666667,0.75,0.12417627017619305,0.12540051373382013,Eco Display Classic Budastraat,Kortrijk,2023-12-08,119
44,31,5.0,0.16129032258064516,430772.0,13895.870967741936,0.16129032258064516,0.11607068240275598,0.12052990712721873,Maaseik teller 2,Maaseik,2022-04-28,120
95,29,3.0,0.10344827586206896,269521.0,9293.827586206897,0.10344827586206896,0.11130858077849222,0.11850915316146703,Lier teller 1,Lier,2022-07-26,121
40,31,2.0,0.06451612903225806,185712.0,5990.709677419355,0.06451612903225806,0.10769363315240803,0.11816202563150995,Peer teller 2,Peer,2022-04-20,122
20,62,12.0,0.1935483870967742,1064138.0,17163.516129032258,0.14516129032258066,0.1127673290494278,0.11462680488258647,Brugge,Brugge,2019-08-22,123
107,28,38.0,1.3571428571428572,3466478.0,123802.78571428571,0.6785714285714286,0.10962135054657782,0.11020466893169055,leuven totem,Leuven,2022-08-23,124
64,29,21.0,0.7241379310344828,2031903.0,70065.62068965517,0.4827586206896552,0.10335139029766677,0.10437465473649676,Nieuwpoort teller 1,Nieuwpoort,2022-06-24,125
134,22,2.0,0.09090909090909091,236494.0,10749.727272727272,0.09090909090909091,0.08456874170169222,0.09379850375137515,Retie,Dessel,2023-02-15,126
66,29,9.0,0.3103448275862069,996738.0,34370.275862068964,0.2413793103448276,0.09029454079206371,0.09249725706190703,Nieuwpoort totem,Nieuwpoort,2022-06-30,127
87,29,5.0,0.1724137931034483,639625.0,22056.03448275862,0.1724137931034483,0.07817080320500293,0.08176766612774303,Aarschot,Aarschot,2022-07-16,128
62,29,3.0,0.10344827586206896,425723.0,14680.103448275862,0.10344827586206896,0.07046835618465529,0.07600504773765139,Wervik teller 1,Wervik,2022-06-05,129
61,29,3.0,0.10344827586206896,426100.0,14693.103448275862,0.10344827586206896,0.07040600797934757,0.07593931217199051,Wervik teller 2,Wervik,2022-06-05,130
142,2,1.0,0.5,184494.0,92247.0,0.5,0.05420230468199508,0.06743345860028187,TEST Validatie BRUGGE Y2H22022134,Brugge,2023-10-24,131
109,28,7.0,0.25,1204089.0,43003.17857142857,0.21428571428571427,0.05813523751151285,0.06022123205868928,Zemst,Zemst,2022-08-26,132
35,31,2.0,0.06451612903225806,375528.0,12113.806451612903,0.06451612903225806,0.05325834558275282,0.05995383212896679,Lanaken teller 1,Lanaken,2022-04-15,133
131,23,1.0,0.043478260869565216,216777.0,9425.08695652174,0.043478260869565216,0.04613035515760436,0.05782529902295751,Nevele,Deinze,2023-01-25,134
135,22,1.0,0.045454545454545456,234345.0,10652.045454545454,0.045454545454545456,0.04267212869914016,0.05366429053716006,Retie 2,Dessel,2023-02-15,135
50,30,2.0,0.06666666666666667,430694.0,14356.466666666667,0.06666666666666667,0.046436681263263474,0.05244535441326898,"Brugge, Sint-Andries",Brugge,2022-06-01,136
92,29,1.0,0.034482758620689655,261831.0,9028.655172413793,0.034482758620689655,0.03819257459964634,0.048233998355019514,Nijlen teller 1,Nijlen,2022-07-24,137
93,29,1.0,0.034482758620689655,268285.0,9251.206896551725,0.034482758620689655,0.037273794658665226,0.047114534365565716,Nijlen teller 2,Nijlen,2022-07-24,138
51,30,2.0,0.06666666666666667,545337.0,18177.9,0.06666666666666667,0.036674570036509535,0.04161463934022728,"Brugge, Sint-Andries",Brugge,2022-06-01,139
33,31,0.0,0.0,70059.0,2259.967741935484,0.0,0.0,0.038841161700547404,Lummen,Lummen,2022-04-14,140
32,31,0.0,0.0,71335.0,2301.1290322580644,0.0,0.0,0.03823028525514829,Lummen,Lummen,2022-04-14,141
84,29,1.0,0.034482758620689655,434201.0,14972.448275862069,0.034482758620689655,0.023030808312279338,0.029508455313775557,Roeselare totem,Izegem,2022-07-13,142
